suite,run_number,started_at,finished_at,model,temperature,max_turns,status,outcome,planner_attempts,latency_ms,input_tokens,output_tokens,final_output,validation_error,error
ceiling_2,1,2026-09-08T07:54:32.061747+00:00,2026-09-08T07:54:35.756522+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3694.69,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
ceiling_2,2,2026-09-08T07:54:35.756554+00:00,2026-09-08T07:54:39.240421+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3483.8,355,57,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergic consumers should return product.""}",,
ceiling_2,3,2026-09-08T07:54:39.240454+00:00,2026-09-08T07:54:42.835290+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3594.76,357,59,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergy sufferers should avoid and return product.""}",,
ceiling_2,4,2026-09-08T07:54:42.835372+00:00,2026-09-08T07:54:46.488663+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3653.2,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds. Almond allergic consumers should return product for refund.""}",,
ceiling_2,5,2026-09-08T07:54:46.488698+00:00,2026-09-08T07:54:50.200151+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3711.38,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
ceiling_2,6,2026-09-08T07:54:50.200217+00:00,2026-09-08T07:54:53.907558+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3707.25,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising almond-allergic consumers to return for refund.""}",,
ceiling_2,7,2026-09-08T07:54:53.907618+00:00,2026-09-08T07:54:57.630247+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3722.54,357,59,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond allergic consumers should return product for refund.""}",,
ceiling_2,8,2026-09-08T07:54:57.630308+00:00,2026-09-08T07:55:01.446408+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3822.29,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising almond-allergic consumers to return for refund.""}",,
ceiling_2,9,2026-09-08T07:55:01.446461+00:00,2026-09-08T07:55:05.008562+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3566.73,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds, advising almond-allergic consumers to return for refund.""}",,
ceiling_2,10,2026-09-08T07:55:05.008626+00:00,2026-09-08T07:55:08.811594+00:00,qwen3:8b,0.7,2,completed,valid_first_attempt,1,3806.85,358,60,"{""tags"": [""almond allergen"", ""spinach recall"", ""food safety""], ""summary"": ""Valley Harvest recalls spinach bags with undeclared almonds; almond-allergic consumers should return product for refund.""}",,
